2023-07-03 00:12:43.842 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330742529123291136[0;39m ------------- 开始 -------------
	at com.sun.crypto.provider.RSACipher.doFinal(RSACipher.java:347)
	at com.sun.crypto.provider.RSACipher.engineDoFinal(RSACipher.java:404)
	at javax.crypto.Cipher.doFinal(Cipher.java:2168)
	at com.example.blog.controller.UserController.getpassword(UserController.java:108)
	at com.example.blog.controller.UserController$$FastClassBySpringCGLIB$$c781e13e.invoke(<generated>)
	at org.springframework.cglib.proxy.MethodProxy.invoke(MethodProxy.java:218)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:771)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.framework.adapter.MethodBeforeAdviceInterceptor.invoke(MethodBeforeAdviceInterceptor.java:56)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.aspectj.MethodInvocationProceedingJoinPoint.proceed(MethodInvocationProceedingJoinPoint.java:88)
	at com.example.blog.aspect.LogAspect.doAround(LogAspect.java:85)
	at sun.reflect.GeneratedMethodAccessor40.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethodWithGivenArgs(AbstractAspectJAdvice.java:644)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethod(AbstractAspectJAdvice.java:633)
	at org.springframework.aop.aspectj.AspectJAroundAdvice.invoke(AspectJAroundAdvice.java:70)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:95)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:691)
	at com.example.blog.controller.UserController$$EnhancerBySpringCGLIB$$4b74c7b3.getpassword(<generated>)
	at sun.reflect.GeneratedMethodAccessor39.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:190)
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:138)
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:105)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:878)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:792)
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1040)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:943)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1006)
	at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:909)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:652)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:883)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:231)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:888)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1597)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.lang.Thread.run(Thread.java:748)
2023-07-03 01:14:36.503 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330758101152174080[0;39m ------------- 开始 -------------
2023-07-03 01:14:36.503 INFO  com.example.blog.aspect.LogAspect                 :55   [32m330758101152174080[0;39m 请求地址: http://localhost:8080/user/getpassword POST
2023-07-03 01:14:36.503 INFO  com.example.blog.aspect.LogAspect                 :56   [32m330758101152174080[0;39m 类名方法: com.example.blog.controller.UserController.getpassword
2023-07-03 01:14:36.503 INFO  com.example.blog.aspect.LogAspect                 :57   [32m330758101152174080[0;39m 远程地址: 127.0.0.1
2023-07-03 01:14:36.503 INFO  com.example.blog.aspect.LogAspect                 :79   [32m330758101152174080[0;39m 请求参数: [{"hash":"5642acaf41ad6731","key":"-----BEGIN PUBLIC KEY-----\nMIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDjb4V7EidX/ym28t2ybo0U6t0n\n6p4ej8VjqKHg100va6jkNbNTrLQqMCQCAYtXMXXp2Fwkk6WR+12N9zknLjf+C9sx\n/+l48mjUU8RqahiFD1XT/u2e0m2EN029OhCgkHx3Fc/KlFSIbak93EH/XlYis0w+\nXl69GV6klzgxW6d2xQIDAQAB\n-----END PUBLIC KEY-----\n","page":0,"size":0,"split":"0"}]
2023-07-03 01:14:36.503 INFO  com.example.blog.aspect.LogAspect                 :91   [32m330758101152174080[0;39m 返回结果: {"data":"WIh9Pb3XRV1jbxWFBfvRQ9u/3eGgHqOVOPxijYZ05ghyGkkM8xRKRH7f5o/ZcdgvUW3o6TiD9+QdUBXtuOh7KuPRiHrPR1UJL8F9HxRDPZCqZE2yOBrIE1tJ9Z/nX/7Zwfzs78/0Sp+Kw5ZtkDZzO4LNMzZeh6pAs26Cpuxj6Uo=","success":true}
2023-07-03 01:14:36.504 INFO  com.example.blog.aspect.LogAspect                 :92   [32m330758101152174080[0;39m ------------- 结束 耗时：1 ms -------------
2023-07-03 01:14:41.455 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330758121922367488[0;39m ------------- 开始 -------------
2023-07-03 01:14:41.456 INFO  com.example.blog.aspect.LogAspect                 :55   [32m330758121922367488[0;39m 请求地址: http://localhost:8080/user/getpassword POST
2023-07-03 01:14:41.456 INFO  com.example.blog.aspect.LogAspect                 :56   [32m330758121922367488[0;39m 类名方法: com.example.blog.controller.UserController.getpassword
2023-07-03 01:14:41.456 INFO  com.example.blog.aspect.LogAspect                 :57   [32m330758121922367488[0;39m 远程地址: 127.0.0.1
2023-07-03 01:14:41.456 INFO  com.example.blog.aspect.LogAspect                 :79   [32m330758121922367488[0;39m 请求参数: [{"hash":"5426a4fe41c781a6","key":"-----BEGIN PUBLIC KEY-----\nMIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDjb4V7EidX/ym28t2ybo0U6t0n\n6p4ej8VjqKHg100va6jkNbNTrLQqMCQCAYtXMXXp2Fwkk6WR+12N9zknLjf+C9sx\n/+l48mjUU8RqahiFD1XT/u2e0m2EN029OhCgkHx3Fc/KlFSIbak93EH/XlYis0w+\nXl69GV6klzgxW6d2xQIDAQAB\n-----END PUBLIC KEY-----\n","page":0,"size":0,"split":"0"}]
2023-07-03 01:14:41.457 INFO  com.example.blog.aspect.LogAspect                 :91   [32m330758121922367488[0;39m 返回结果: {"data":"uX6EEF38w+9UXtmQTKUo5K+JqBL3SfPRrmSRswPpcFNE3Qmfgwoythb3Q/9mnG0eDvu1LqYoOI7EMMJQvr6g1gbh5hl8D8yvssp8HH85uoi7GoA7R8WkMSgQkVmU7AqRL0rQEFCR90JB1fjexGSLKQtSVUtaOrleW6iMOs+ad1w=","success":true}
2023-07-03 01:14:41.457 INFO  com.example.blog.aspect.LogAspect                 :92   [32m330758121922367488[0;39m ------------- 结束 耗时：2 ms -------------
2023-07-03 01:14:45.893 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330758140536688640[0;39m ------------- 开始 -------------
2023-07-03 01:14:45.894 INFO  com.example.blog.aspect.LogAspect                 :55   [32m330758140536688640[0;39m 请求地址: http://localhost:8080/user/getpassword POST
2023-07-03 01:14:45.894 INFO  com.example.blog.aspect.LogAspect                 :56   [32m330758140536688640[0;39m 类名方法: com.example.blog.controller.UserController.getpassword
2023-07-03 01:14:45.894 INFO  com.example.blog.aspect.LogAspect                 :57   [32m330758140536688640[0;39m 远程地址: 127.0.0.1
2023-07-03 01:14:45.894 INFO  com.example.blog.aspect.LogAspect                 :79   [32m330758140536688640[0;39m 请求参数: [{"hash":"9dea31ea4e40bf56","key":"-----BEGIN PUBLIC KEY-----\nMIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDjb4V7EidX/ym28t2ybo0U6t0n\n6p4ej8VjqKHg100va6jkNbNTrLQqMCQCAYtXMXXp2Fwkk6WR+12N9zknLjf+C9sx\n/+l48mjUU8RqahiFD1XT/u2e0m2EN029OhCgkHx3Fc/KlFSIbak93EH/XlYis0w+\nXl69GV6klzgxW6d2xQIDAQAB\n-----END PUBLIC KEY-----\n","page":0,"size":0,"split":"0"}]
2023-07-03 01:14:45.894 INFO  com.example.blog.aspect.LogAspect                 :91   [32m330758140536688640[0;39m 返回结果: {"data":"YtTyt2hRhW3v4tBc11TgD50vH98ZB4l/fO1xi9fLCdYVbxsZOSdYxnCO6bsOOA60fFnCw0IRk2s8J//3vGmthG6LHA05+TDSN2hK7TuOmcAQcn619VOiXRqSSi0+tbnglXzCAyADOfjmhljzmiFPRHsRqI6o0nQ3EcVNAnv5kGY=","success":true}
2023-07-03 01:14:45.894 INFO  com.example.blog.aspect.LogAspect                 :92   [32m330758140536688640[0;39m ------------- 结束 耗时：1 ms -------------
2023-07-03 01:15:00.842 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330758203237339136[0;39m ------------- 开始 -------------
2023-07-03 01:15:00.842 INFO  com.example.blog.aspect.LogAspect                 :55   [32m330758203237339136[0;39m 请求地址: http://localhost:8080/user/getpassword POST
2023-07-03 01:15:00.842 INFO  com.example.blog.aspect.LogAspect                 :56   [32m330758203237339136[0;39m 类名方法: com.example.blog.controller.UserController.getpassword
2023-07-03 01:15:00.842 INFO  com.example.blog.aspect.LogAspect                 :57   [32m330758203237339136[0;39m 远程地址: 127.0.0.1
2023-07-03 01:15:00.842 INFO  com.example.blog.aspect.LogAspect                 :79   [32m330758203237339136[0;39m 请求参数: [{"key":"-----BEGIN PUBLIC KEY-----\nMIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDjb4V7EidX/ym28t2ybo0U6t0n\n6p4ej8VjqKHg100va6jkNbNTrLQqMCQCAYtXMXXp2Fwkk6WR+12N9zknLjf+C9sx\n/+l48mjUU8RqahiFD1XT/u2e0m2EN029OhCgkHx3Fc/KlFSIbak93EH/XlYis0w+\nXl69GV6klzgxW6d2xQIDAQAB\n-----END PUBLIC KEY-----\n","page":0,"size":0,"split":"0"}]
2023-07-03 01:15:00.843 INFO  com.example.blog.aspect.LogAspect                 :91   [32m330758203237339136[0;39m 返回结果: {"data":"ZtX0q9rltAQHWgmpEwUFd2HNXbqU9j6rXtpSbWE/hWjh94QZNFyOYDejxCVCP4/cnCkhgbQlZ4UcqHfzuWazf6ll0Hjct9LtmjPJ00U9/neavk6cCSXEXCc08BkQJLOqPB9vvFOOnC6sWu5mHvgTdSytHldkRjKWlUIjSc/I5A8=","success":true}
2023-07-03 01:15:00.843 INFO  com.example.blog.aspect.LogAspect                 :92   [32m330758203237339136[0;39m ------------- 结束 耗时：1 ms -------------
2023-07-03 01:15:08.921 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330758237123121152[0;39m ------------- 开始 -------------
2023-07-03 01:15:08.921 INFO  com.example.blog.aspect.LogAspect                 :55   [32m330758237123121152[0;39m 请求地址: http://localhost:8080/user/getpassword POST
2023-07-03 01:15:08.921 INFO  com.example.blog.aspect.LogAspect                 :56   [32m330758237123121152[0;39m 类名方法: com.example.blog.controller.UserController.getpassword
2023-07-03 01:15:08.921 INFO  com.example.blog.aspect.LogAspect                 :57   [32m330758237123121152[0;39m 远程地址: 127.0.0.1
2023-07-03 01:15:08.921 INFO  com.example.blog.aspect.LogAspect                 :79   [32m330758237123121152[0;39m 请求参数: [{"hash":"ec06fca08a1447bf","key":"-----BEGIN PUBLIC KEY-----\nMIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDjb4V7EidX/ym28t2ybo0U6t0n\n6p4ej8VjqKHg100va6jkNbNTrLQqMCQCAYtXMXXp2Fwkk6WR+12N9zknLjf+C9sx\n/+l48mjUU8RqahiFD1XT/u2e0m2EN029OhCgkHx3Fc/KlFSIbak93EH/XlYis0w+\nXl69GV6klzgxW6d2xQIDAQAB\n-----END PUBLIC KEY-----\n","page":0,"size":0,"split":"0"}]
2023-07-03 01:15:08.921 INFO  com.example.blog.aspect.LogAspect                 :91   [32m330758237123121152[0;39m 返回结果: {"data":"zB7Wcl8vkKbYtNd6QgwSbj4amDY9NzCgbvaPL3zCaaolWZVujCn6mkDznQEImgxTZnlb+bkmkUPkJNXt/ODVqBDTB3gZWhbUKDVW1UociSuuWRl4mA/26Ksc/bAX9MsMWs6hwDdhgTmTnza28X3bsMNdMz2s+IpDrF3woWcedpw=","success":true}
2023-07-03 01:15:08.921 INFO  com.example.blog.aspect.LogAspect                 :92   [32m330758237123121152[0;39m ------------- 结束 耗时：0 ms -------------
2023-07-03 01:15:18.807 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330758278588010496[0;39m ------------- 开始 -------------
2023-07-03 01:15:18.807 INFO  com.example.blog.aspect.LogAspect                 :55   [32m330758278588010496[0;39m 请求地址: http://localhost:8080/user/getpassword POST
2023-07-03 01:15:18.807 INFO  com.example.blog.aspect.LogAspect                 :56   [32m330758278588010496[0;39m 类名方法: com.example.blog.controller.UserController.getpassword
2023-07-03 01:15:18.807 INFO  com.example.blog.aspect.LogAspect                 :57   [32m330758278588010496[0;39m 远程地址: 127.0.0.1
2023-07-03 01:15:18.808 INFO  com.example.blog.aspect.LogAspect                 :79   [32m330758278588010496[0;39m 请求参数: [{"hash":"72b0fc04e863156a","key":"-----BEGIN PUBLIC KEY-----\nMIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDjb4V7EidX/ym28t2ybo0U6t0n\n6p4ej8VjqKHg100va6jkNbNTrLQqMCQCAYtXMXXp2Fwkk6WR+12N9zknLjf+C9sx\n/+l48mjUU8RqahiFD1XT/u2e0m2EN029OhCgkHx3Fc/KlFSIbak93EH/XlYis0w+\nXl69GV6klzgxW6d2xQIDAQAB\n-----END PUBLIC KEY-----\n","page":0,"size":0,"split":"0"}]
2023-07-03 01:15:18.808 INFO  com.example.blog.aspect.LogAspect                 :91   [32m330758278588010496[0;39m 返回结果: {"data":"HNfF3DG3nIV/heU7ZbGJxTXVKlo+6VlTP+QKEY58jzQjwcSnLSwfJYqZ5uSoKt7rxwNarUB2hfbYY3CGIl7pVCgMS0IJ2POoDf5RyubvunUnh327hmLoFadJDOW8w4PR83l8okmuZekZEPCc1wiFSlixvPg8L8zIZg4pmo8nQvM=","success":true}
2023-07-03 01:15:18.808 INFO  com.example.blog.aspect.LogAspect                 :92   [32m330758278588010496[0;39m ------------- 结束 耗时：1 ms -------------
2023-07-03 01:15:20.925 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330758287471546368[0;39m ------------- 开始 -------------
2023-07-03 01:15:20.925 INFO  com.example.blog.aspect.LogAspect                 :55   [32m330758287471546368[0;39m 请求地址: http://localhost:8080/user/getpassword POST
2023-07-03 01:15:20.925 INFO  com.example.blog.aspect.LogAspect                 :56   [32m330758287471546368[0;39m 类名方法: com.example.blog.controller.UserController.getpassword
2023-07-03 01:15:20.926 INFO  com.example.blog.aspect.LogAspect                 :57   [32m330758287471546368[0;39m 远程地址: 127.0.0.1
2023-07-03 01:15:20.926 INFO  com.example.blog.aspect.LogAspect                 :79   [32m330758287471546368[0;39m 请求参数: [{"hash":"252c06b114a70b8a","page":0,"size":0,"split":"0"}]
2023-07-03 01:15:20.926 ERROR c.e.blog.controller.ControllerExceptionHandler    :62   [32m330758287471546368[0;39m 系统异常：
java.lang.NullPointerException: null
	at com.example.blog.controller.UserController.getpassword(UserController.java:98)
	at com.example.blog.controller.UserController$$FastClassBySpringCGLIB$$c781e13e.invoke(<generated>)
	at org.springframework.cglib.proxy.MethodProxy.invoke(MethodProxy.java:218)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:771)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.framework.adapter.MethodBeforeAdviceInterceptor.invoke(MethodBeforeAdviceInterceptor.java:56)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.aspectj.MethodInvocationProceedingJoinPoint.proceed(MethodInvocationProceedingJoinPoint.java:88)
	at com.example.blog.aspect.LogAspect.doAround(LogAspect.java:85)
	at sun.reflect.GeneratedMethodAccessor40.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethodWithGivenArgs(AbstractAspectJAdvice.java:644)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethod(AbstractAspectJAdvice.java:633)
	at org.springframework.aop.aspectj.AspectJAroundAdvice.invoke(AspectJAroundAdvice.java:70)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:95)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:691)
	at com.example.blog.controller.UserController$$EnhancerBySpringCGLIB$$4b74c7b3.getpassword(<generated>)
	at sun.reflect.GeneratedMethodAccessor39.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:190)
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:138)
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:105)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:878)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:792)
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1040)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:943)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1006)
	at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:909)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:652)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:883)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:231)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:888)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1597)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.lang.Thread.run(Thread.java:748)
2023-07-03 01:15:22.496 INFO  com.example.blog.aspect.LogAspect                 :54   [32m330758294060797952[0;39m ------------- 开始 -------------
2023-07-03 01:15:22.496 INFO  com.example.blog.aspect.LogAspect                 :55   [32m330758294060797952[0;39m 请求地址: http://localhost:8080/user/getpassword POST
2023-07-03 01:15:22.497 INFO  com.example.blog.aspect.LogAspect                 :56   [32m330758294060797952[0;39m 类名方法: com.example.blog.controller.UserController.getpassword
2023-07-03 01:15:22.497 INFO  com.example.blog.aspect.LogAspect                 :57   [32m330758294060797952[0;39m 远程地址: 127.0.0.1
2023-07-03 01:15:22.497 INFO  com.example.blog.aspect.LogAspect                 :79   [32m330758294060797952[0;39m 请求参数: [{"hash":"b4add116304a2ab0","page":0,"size":0,"split":"0"}]
2023-07-03 01:15:22.497 ERROR c.e.blog.controller.ControllerExceptionHandler    :62   [32m330758294060797952[0;39m 系统异常：
java.lang.NullPointerException: null
	at com.example.blog.controller.UserController.getpassword(UserController.java:98)
	at com.example.blog.controller.UserController$$FastClassBySpringCGLIB$$c781e13e.invoke(<generated>)
	at org.springframework.cglib.proxy.MethodProxy.invoke(MethodProxy.java:218)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:771)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.framework.adapter.MethodBeforeAdviceInterceptor.invoke(MethodBeforeAdviceInterceptor.java:56)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.aspectj.MethodInvocationProceedingJoinPoint.proceed(MethodInvocationProceedingJoinPoint.java:88)
	at com.example.blog.aspect.LogAspect.doAround(LogAspect.java:85)
	at sun.reflect.GeneratedMethodAccessor40.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethodWithGivenArgs(AbstractAspectJAdvice.java:644)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethod(AbstractAspectJAdvice.java:633)
	at org.springframework.aop.aspectj.AspectJAroundAdvice.invoke(AspectJAroundAdvice.java:70)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:95)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:691)
	at com.example.blog.controller.UserController$$EnhancerBySpringCGLIB$$4b74c7b3.getpassword(<generated>)
